subject,stimulus_id,prog_item,room_size,absorption,rt_ratio,loop_gain_dB,filter,routing,is_familiarisation,is_repeated,is_src_to_rec,rating,colouration,flutter_echo,asymmetry,curvature,hf_damping,is_box_behnken,zscore
1,138,1,1,2,0,-4,High Shelf,Single LS (left),1,1,0,69,0.24968808874466988,0.6527499426895864,0.527898176864254,0.2366619901621133,0.656819653928164,0,0.7817493100702317
1,49,1,2,1,3,-1,Normal,All LS,1,1,0,41,0.7184068591557768,-0.5504310289632791,0.28338367021077293,0.8171866603194744,0.3130437202326417,1,-0.17060274998770264
1,177,1,2,3,0,-4,High Shelf,All LS,1,1,0,100,0.21141429023008854,0.6489421126095501,0.3984863608726144,0.48471077177536126,0.4099527054734381,0,1.836139090848659
1,8,1,1,2,1,-1,High Shelf,All LS,1,1,0,50,0.5326680097271115,0.24952224701300665,0.6938817598020509,0.43861931437327084,0.7867514346432503,1,0.13551041217377627
1,149,1,2,3,3,-1,Normal,All LS,1,1,0,88,0.5496736499035261,0.23741405407950075,0.5216739194358333,0.7420513519231771,0.2529909278319591,1,1.4279882079666872
1,106,1,3,2,0,-1,LPF,Right Wall,1,1,0,66,0.24106428281608197,0.5203947801568086,0.4320223870983166,0.20214463366183044,0.4043420192554617,0,0.6797115893497387
1,109,1,2,1,3,-4,Normal,All LS,1,1,0,19,0.37825885542241106,-0.4167541119182575,0.21289403625795156,0.749482251651984,0.4041332985496552,0,-0.9188793686046511
1,93,1,1,2,3,-1,High Shelf,Single LS (left),1,1,0,89,0.9524606318496849,-0.41399520633905723,1.0713256587206408,0.781455851748659,0.9104185214512102,0,1.4620007815401848
1,178,1,1,2,3,-1,High Shelf,All LS,1,1,0,59,0.5213092961872575,-0.16160092839149165,0.5748719021964194,0.6938749977791954,0.7912005930594377,0,0.4416235743352552
1,79,1,1,2,1,-4,Normal,All LS,1,1,0,74,0.2037174139267902,0.7251011402812636,0.46522626518137905,0.3724051926549883,0.6675061446520315,0,0.95181217793772
1,11,1,3,3,0,-4,Normal,All LS,1,1,0,35,0.20487566921672443,0.5095419836995521,0.27396662846247655,0.20447653899718765,0.2274449815762407,0,-0.3746781914286886
1,13,1,1,3,1,-1,High Shelf,All LS,1,1,0,67,0.49898649774974185,0.3603041698676995,0.6590783126561505,0.5990686759441715,0.6487476224735194,0,0.7137241629232364
1,134,1,3,3,1,-4,High Shelf,All LS,1,1,0,100,0.1899974661431669,0.44771864540829587,0.23078607296456635,0.29166686352254434,0.4392507027116854,1,1.836139090848659
1,65,1,3,1,1,-4,High Shelf,All LS,1,1,0,0,0.2509263708930214,0.15263907359715906,0.09492323213056698,0.32706422504955557,0.46379987420262814,1,-1.5651182665011065
1,74,2,2,3,3,-4,Normal,All LS,0,0,0,2,0.3137109312584548,0.3540749200658677,0.3375545564517729,0.7400467671766948,0.2419648978385937,0,-1.4970931193541113
1,230,2,2,1,1,-1,Normal,Single LS (left),0,0,0,86,1.1471267386635446,0.17584291699894766,0.4170983518699967,0.8414137970848925,0.796979887919783,1,1.359963060819692
1,58,2,2,2,3,-8,LPF,Single LS (left),0,0,0,53,0.304069009538367,0.783587503959821,0.5734952624341277,0.48971641785136133,0.6384511946110701,0,0.23754813289426924
1,42,2,1,2,0,-4,Normal,Right Wall,0,0,0,21,0.23083871838741338,0.7237851853953172,0.581949025331657,0.30470603332746504,0.687361806740709,1,-0.8508542214576558
1,211,2,2,1,1,-8,Normal,Right Wall,0,0,0,6,0.2596530465316564,0.5629406765180002,0.31311309573700136,0.17975611273276526,0.48421558306176543,1,-1.3610428250601205
1,213,2,1,2,1,-8,High Shelf,Single LS (left),0,0,0,32,0.2720024627732637,0.6615914242014644,0.4029654853155705,0.29121786057089816,0.6613537614490641,0,-0.4767159121491816
1,169,2,1,2,1,-4,Normal,All LS,0,0,0,41,0.2037174139267902,0.7251011402812636,0.46522626518137905,0.3724051926549883,0.6675061446520315,0,-0.17060274998770264
1,120,1,2,2,0,-4,High Shelf,Right Wall,0,0,0,98,0.23071614470911728,0.7442400527447205,0.628041756171708,0.4013167824557228,0.6476869012614412,1,1.7681139437016637
1,67,1,3,2,0,-4,Normal,Single LS (left),0,0,0,58,0.25029706642120025,0.543190021778974,0.4590701739676845,0.18057108464770877,0.36221756599957833,1,0.4076110007617575
1,123,1,1,1,0,-8,Normal,Single LS (left),0,0,0,82,0.1971776230128462,0.462778715093053,0.33958676134534543,0.14476402173629221,0.6106357178960393,0,1.2239127665257012
1,105,1,2,3,3,-4,Normal,All LS,0,0,0,1,0.3137109312584548,0.3540749200658677,0.3375545564517729,0.7400467671766948,0.2419648978385937,0,-1.531105692927609
1,237,1,2,3,-999,-999,-999,-999,0,0,1,84,0.22779620752807053,0.6651296823245533,0.5017135791050801,0.3887186305894611,0.4166117629923404,0,1.2919379136726965
1,220,1,2,1,1,-8,Normal,Single LS (left),0,0,0,46,0.3169556944877924,0.5911334661243823,0.2870647672496384,0.19387998095545467,0.10956542287575592,1,-0.0005398821202143674
1,78,1,2,1,0,-8,Normal,All LS,0,0,0,43,0.24975596607758474,0.5293134514115192,0.2622449683045602,0.153634903955282,0.40468394358866694,1,-0.10257760284070734
1,1,2,1,1,1,-4,High Shelf,All LS,0,0,0,0,0.2513576499703992,0.33159053080052936,0.47715210187902246,0.2731937874320085,0.6330732053272081,1,-1.5651182665011065
1,32,2,1,2,1,-4,LPF,Right Wall,0,0,0,31,0.21571385626894024,0.7275725179136814,0.5605937147484501,0.2507501239543152,0.7266546388453147,0,-0.5107284857226793
1,88,2,3,3,-999,-999,-999,-999,0,0,1,10,0.20639176670612955,0.47842030921945816,0.26352859306109455,0.18729216828481476,0.4156610467243758,0,-1.22499253076613
1,173,2,2,1,0,-4,LPF,Right Wall,0,0,0,24,0.21835248485453804,0.5140741137665957,0.3880280412514828,0.10991705015892261,0.27971692072037857,0,-0.7488165007371628
1,98,2,3,2,3,-4,Normal,Single LS (left),0,0,0,54,0.33882298981240666,0.4148310692749944,0.5168374217053874,0.5449928781922224,0.1949448876430477,1,0.27156070646776687
1,229,2,1,2,0,-4,Normal,Single LS (left),0,0,0,35,0.24968808874466988,0.6527499426895864,0.527898176864254,0.2366619901621133,0.656819653928164,1,-0.3746781914286886
1,187,2,1,3,0,-4,LPF,Right Wall,0,0,0,26,0.23254212928222642,0.6983074550442708,0.41041589065734646,0.1844849233197109,0.488866780299421,0,-0.6807913535901675
1,52,1,2,2,1,-4,High Shelf,Single LS (left),0,0,0,85,0.3424954206134982,0.6911220004809276,0.32074638776826253,0.3116982936173328,0.6768276012792697,0,1.3259504872461942
1,153,1,2,2,3,-4,LPF,Single LS (left),0,0,0,94,0.33458534621487995,0.7614693377451477,0.6591612646146852,0.5040037507560562,0.4800799741084521,1,1.6320636494076732
1,77,1,3,3,1,-8,LPF,Single LS (left),0,0,0,59,0.19981652668590202,0.4791346781658402,0.25959786720987144,0.1882235274131896,0.279086242942195,0,0.4416235743352552
1,13,1,1,3,1,-1,High Shelf,All LS,0,1,0,93,0.49898649774974185,0.3603041698676995,0.6590783126561505,0.5990686759441715,0.6487476224735194,0,1.5980510758341755
1,37,1,1,2,3,-4,Normal,Right Wall,0,0,0,100,0.24453217109636244,0.6076659809000744,0.6427446843127292,0.6368763400855144,0.5385339285048379,1,1.836139090848659
1,93,1,1,2,3,-1,High Shelf,Single LS (left),0,1,0,67,0.9524606318496849,-0.41399520633905723,1.0713256587206408,0.781455851748659,0.9104185214512102,0,0.7137241629232364
1,233,1,3,2,3,-4,Normal,Single LS (left),0,0,0,44,0.33882298981240666,0.4148310692749944,0.5168374217053874,0.5449928781922224,0.1949448876430477,1,-0.06856502926720968
1,143,2,1,2,3,-4,Normal,Single LS (left),0,0,0,74,0.3352768953825471,0.5090272475188161,0.7129312266359581,0.643424107479809,0.505592995258829,1,0.95181217793772
1,85,2,3,2,1,-1,LPF,All LS,0,0,0,10,0.2353660994962174,0.5387620618050349,0.5642163281202787,0.19040691845351587,0.38854273347125934,1,-1.22499253076613
